130	100	205
160	180	327
100	160	211
120	200	302
120	180	286
190	180	360
190	170	343
130	140	260
160	200	343
140	180	303
200	190	380
110	190	178
100	200	284
160	150	300
120	130	240
170	180	340
170	130	278
110	130	223
130	150	261
110	120	220
180	110	220
110	140	238
150	110	234
170	180	340
160	200	343
120	150	251
160	170	320
200	160	339
180	170	340
170	110	250
140	110	220
120	140	244
140	180	305
150	190	321
150	160	300
160	130	262
130	170	278
130	140	260
110	190	178
110	110	110
200	130	266
110	100	170
